id_da_escola,nome_da_escola,tipo_da_escola,logradouro,numero,bairro,subprefeitura,latitude,longitude,quantidade_de_material
477,EM PAULO MARANHAO,EM,RUA DO GOVERNO, 866,REALENGO,GRANDE BANGU,-22.892991,-43.441219,187
641,EM LAURO MULLER,EM,RUA ROSA DE ALMEIDA, 113,PADRE MIGUEL,GRANDE BANGU,-22.882073,-43.44644,269
689,EM MOACIR PADILHA,EM,RUA GENERAL GOMES DE CASTRO, 30,PADRE MIGUEL,GRANDE BANGU,-22.868766,-43.450652,571
576,EM CORYNTHO DA FONSECA,EM,RUA URUQUE, SN,REALENGO,GRANDE BANGU,-22.858945,-43.443874,148
520,EM BARONESA DE SAAVEDRA,EM,RUA MAL BIBIANO COSTALAT, 483-639,REALENGO,GRANDE BANGU,-22.87185,-43.432432,136
308,CIEP THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO, SN,REALENGO,GRANDE BANGU,-22.866522,-43.425149,400
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,EM,AVENIDA CANAL, SN,REALENGO,GRANDE BANGU,-22.883457,-43.429451,235
568,EM VISCONDE DE PORTO SEGURO,EM,RUA TEOFILO GUIMARAES, 604,JARDIM SULACAP,GRANDE BANGU,-22.889076,-43.39248,362
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,EM,AVENIDA DUQUE DE CAXIAS, 170,DEODORO,GRANDE BANGU,-22.856087,-43.386608,128
023,EM CERVANTES,EM,RUA ABILIO DOS SANTOS, 170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.365952,342
031,E.M. PARA,EM,AVENIDA DOS ITALIANOS, 500,ROCHA MIRANDA,ZONA NORTE,-22.851963,-43.34949,115
248,E.M. ASPIRANTE CARLOS ALFREDO,EM,RUA IBIA, 105,TURIACU,ZONA NORTE,-22.860846,-43.34455,513
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO, 401,MADUREIRA,ZONA NORTE,-22.876082,-43.343369,468
514,EM PARANA,EM,AVENIDA ERNANI CARDOSO, 316,CASCADURA,ZONA NORTE,-22.882408,-43.338111,534
206,EM HONDURAS,EM,PRACA BARAO DA TAQUARA, 12,PRACA SECA,JACAREPAGUA,-22.896931,-43.352667,392
527,EM VIRGILIO VARZEA,EM,RUA JOSE SILVA, 155,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179
016,CIEP JOAO BATISTA DOS SANTOS,CIEP,RUA EDGAR WERNECK, 1565,CIDADE DE DEUS,JACAREPAGUA,-22.947106,-43.359739,430
570,EM HELENA LOPES ABRANCHES,EM,RUA ACAPORI, 495,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.353437,466
466,ESCOLA MUNICIPAL NELSON RODRIGUES,EM,RUA FREI LUIZ ALEVATO, SN,TAQUARA,JACAREPAGUA,-22.935328,-43.369728,279
636,EM PABLO NERUDA,EM,ESTRADA DO MAPUA, SN RUA 3,TAQUARA,JACAREPAGUA,-22.92688,-43.387881,161
211,EM FRANCIS HIME,EM,ESTRADA PAU DA FOME, 196,TAQUARA,JACAREPAGUA,-22.918831,-43.41625,520
690,ESCOLA MUNICIPAL FINLANDIA,EM,RUA IGARAPE-ACU,Não informado,CAMORIM,BARRA DA TIJUCA,-22.971988,-43.410113,94
202,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,EM,RUA ESPERANCA, 387,VARGEM GRANDE,BARRA DA TIJUCA,-22.981726,-43.491639,121
144,EM ALFREDO CESARIO ALVIM,EM,RUA LUISA MARILAC, 20,CAMPO GRANDE,ZONA OESTE,-22.923154,-43.518773,99
139,EM JESUS SOARES PEREIRA,EM,RUA CONSOLACAO, 138,CAMPO GRANDE,ZONA OESTE,-22.919593,-43.546838,316
399,CIEP CLEMENTINA DE JESUS,CIEP,AVENIDA ALHAMBRA, SN,CAMPO GRANDE,ZONA OESTE,-22.925293,-43.566649,71
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,CIEP,ESTRADA MORICABA, SN,SENADOR VASCONCELOS,ZONA OESTE,-22.925293,-43.566649,591
052,E.M PROFESSOR PAULO SILVA,EM,RUA JAIRO CORREA, SN,INHOAIBA,ZONA OESTE,-22.908586,-43.584735,330
379,CIEP NELSON MANDELA,CIEP,PRACA DANIEL LAMES, SN,CAMPO GRANDE,ZONA OESTE,-22.895575,-43.570508,109
616,CIEP PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS, SN,CAMPO GRANDE,ZONA OESTE,-22.887297,-43.587359,372
342,E.M FERNANDO COSTA,EM,RUA JOSE ALBANO, SN,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.593991,296
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA, 97,COSMOS,ZONA OESTE,-22.910969,-43.616053,479
319,EM MARECHAL PEDRO CAVALCANTI,EM,RUA PORTO FIRME, SN,PACIENCIA,ZONA OESTE,-22.924853,-43.632891,537
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,EM,RUA EUDALDO GOMES DA SILVA, SN CONJ URUCANIA,PACIENCIA,ZONA OESTE,-22.914027,-43.653436,579
323,CIEP ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO, SN,SANTA CRUZ,ZONA OESTE,-22.934157,-43.66213,106
560,EM ANDRE VIDAL DE NEGREIROS,EM,RUA FELIPE CARDOSO, 750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308
311,EM PESTALOZZI,EM,RUA SEVERIANO DAS CHAGAS, SN,SANTA CRUZ,ZONA OESTE,-22.915717,-43.679753,162
246,EM FERNANDO AZEVEDO,EM,RUA DAS PALMEIRAS IMPERIAIS, SN,SANTA CRUZ,ZONA OESTE,-22.923065,-43.692332,459
584,ESCOLA MUNICIPAL NELSON ROMERO,EM,RUA JOSE BALDINO, SN,SEPETIBA,ZONA OESTE,-22.971739,-43.697354,342
289,EM BERTHA LUTZ,EM,ESTRADA DO PIAI, 2075,GUARATIBA,ZONA OESTE,-22.979064,-43.67058,329
515,CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA, SN,PEDRA DE GUARATIBA,ZONA OESTE,-22.974506,-43.648171,341
474,EM ENGENHEIRO GASTAO RANGEL,EM,ESTRADA DO MAGARCA, 9183,GUARATIBA,ZONA OESTE,-22.98046,-43.643545,320
210,EM DEBORA MENDES DE MORAES,EM,RUA BELCHIOR DA FONSECA, 643,PEDRA DE GUARATIBA,ZONA OESTE,-23.001416,-43.638757,570
606,EM PROFESSOR CASTILHO,EM,CAMINHO DA MATRIZ, 4406,ILHA DE GUARATIBA,ZONA OESTE,-22.994124,-43.593683,521
301,EM JONATAS SERRANO,EM,ESTRADA DO MATO ALTO, SN,GUARATIBA,ZONA OESTE,-22.953163,-43.577409,335
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS, SN,PACIENCIA,ZONA OESTE,-22.888549,-43.638052,207
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,EM,AVENIDA MARIO PEREIRA DOS SANTOS, SN,PACIENCIA,ZONA OESTE,-22.873187,-43.627731,517
534,EM CORA CORALINA,EM,RUA VOTORANTIM, SN KM 10 MENDANHA,CAMPO GRANDE,ZONA OESTE,-22.858781,-43.537047,157
586,CIEP ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA DE SANTA CRUZ, SN,SENADOR CAMARA,GRANDE BANGU,-22.881793,-43.487326,194
175,E.M. NACOES UNIDAS,EM,RUA DOS LIMADORES, SN,BANGU,GRANDE BANGU,-22.888146,-43.476291,435
398,EM LEONARDO DA VINCI,EM,RUA RENATO REBECCHI, SN,BANGU,GRANDE BANGU,-22.892527,-43.472954,315
080,E.M. JOSE MAURO DE VASCONCELOS,EM,RUA MARLIERIA, SN,BANGU,GRANDE BANGU,-22.850438,-43.466856,599
256,ESCOLA MUNICIPAL PARAIBA,EM,ESTRADA MARECHAL ALENCASTRO, 4035,ANCHIETA,ZONA NORTE,-22.826363,-43.402883,345
589,EM MARIO PIRAGIBE,EM,PRACA NOSSA SENHORA DAS DORES, SN,ANCHIETA,ZONA NORTE,-22.825581,-43.392076,317
608,EM GRANDJEAN DE MONTIGNY,EM,PRACA DOS UCRANIANOS, SN,PAVUNA,ZONA NORTE,-22.81389,-43.373926,260
090,EM THOMAS JEFFERSON,EM,AVENIDA PASTOR MARTIN LUTHER KING JR, SN,ACARI,ZONA NORTE,-22.81631,-43.340149,67
390,E.M. ANDREA FONTES PEIXOTO,EM,RUA FAUSTO E CASTRO, SN,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.340149,257
041,EM ANDRADE NEVES,EM,RUA VIANA DO CASTELO, SN,JARDIM AMERICA,ZONA NORTE,-22.809448,-43.326292,468
388,EM CARDEAL CAMARA,EM,RUA ANAMA, 98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.303566,504
673,ESCOLA MUNICIPAL GRECIA,EM,AVENIDA BRAZ DE PINA, 1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.312536,393
537,EM ARY QUINTELLA,EM,RUA ENG MOREIRA LIMA, 54,PENHA CIRCULAR,ZONA NORTE,-22.839412,-43.300069,234
623,EM CECILIA MEIRELES,EM,RUA SD SERVINO MENGARDA, 260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.303787,416
146,EM BERNARDO VASCONCELOS,EM,PRACA SANTA ROSALIA, 100,PENHA,ZONA NORTE,-22.845629,-43.284007,151
663,EM CIENTISTA MARIO KROEFF,EM,RUA DO COUTO, 91,PENHA,ZONA NORTE,-22.838964,-43.27517,426
161,E.M JOAO DE DEUS,EM,PRACA ALMEIDA GARRET, SN,PENHA CIRCULAR,ZONA NORTE,-22.829946,-43.282108,509
566,EM BRANT HORTA,EM,RUA BENTO CARDOSO, 130,PENHA CIRCULAR,ZONA NORTE,-22.835668,-43.288156,564
498,EM CHILE,EM,PRACA BELMONTE, 15,OLARIA,ZONA NORTE,-22.84858,-43.268589,61
